frame_number,timestamp_ms,time_seconds,cardiac_intensity,global_motion
114,15381847,15381.847,48.77142857142857,0.8226344194956621
115,15381923,15381.923,43.58571428571429,0.7971274107093518
116,15382000,15382.0,46.32857142857143,0.8095286337932178
117,15382076,15382.076000000001,46.3,0.7884055701891728
118,15382153,15382.153,47.642857142857146,0.7908093720643224
119,15382234,15382.234,46.25714285714286,0.8369559210889868
120,15382310,15382.31,45.285714285714285,0.8067702481165614
121,15382386,15382.386,46.31428571428572,0.7978043434213192
122,15382462,15382.462,46.42857142857143,0.793392768332443
123,15382539,15382.539,48.97142857142857,0.8174353920683748
124,15382617,15382.617,43.65714285714286,0.8110206487502072
125,15382693,15382.693000000001,45.97142857142857,0.8139033690066128
126,15382769,15382.769,46.2,0.8442640313875739
127,15382844,15382.844000000001,47.51428571428571,0.7897179907531913
128,15382919,15382.919,47.2,0.8471881965038958
129,15382995,15382.995,44.97142857142857,0.0
