frame_number,timestamp_ms,time_seconds,cardiac_intensity,global_motion
0,15372985,15372.985,45.885714285714286,0.7959715596161285
1,15373200,15373.2,43.871428571428574,0.822901508592901
2,15373280,15373.28,45.6,0.8119232256994972
3,15373359,15373.359,45.857142857142854,0.7901416493212253
4,15373436,15373.436,46.18571428571428,0.786057028127245
5,15373512,15373.512,46.81428571428572,0.8332350936653834
6,15373588,15373.588,44.34285714285714,0.7979885427987253
7,15373664,15373.664,45.74285714285714,0.7997200169463428
8,15373741,15373.741,46.17142857142857,0.7910856711304316
9,15373818,15373.818000000001,48.4,0.7978503932656708
10,15373894,15373.894,43.542857142857144,0.8062084400154728
11,15373972,15373.972,45.614285714285714,0.8196089447217668
12,15374048,15374.048,45.84285714285714,0.7914770948074196
13,15374165,15374.165,46.05714285714286,0.7872174842049033
14,15374204,15374.204,47.714285714285715,0.8368592164158485
15,15374280,15374.28,43.857142857142854,0.7945025695813148
16,15374357,15374.357,45.714285714285715,0.7933098786126103
17,15374437,15374.437,46.01428571428571,0.7824329053767798
18,15374515,15374.515,48.42857142857143,0.8084510674353921
19,15374591,15374.591,43.68571428571428,0.8178820755585846
20,15374668,15374.668,45.47142857142857,0.8048407596382324
21,15374744,15374.744,45.871428571428574,0.7952900219197259
22,15374819,15374.819,46.042857142857144,0.7822164711083277
23,15374895,15374.895,47.44285714285714,0.8260236880399344
24,15374973,15374.973,44.01428571428571,0.790404133434029
25,15375050,15375.050000000001,45.72857142857143,0.7987713901527013
26,15375145,15375.145,46.114285714285714,0.7840630698668238
27,15375203,15375.203,48.22857142857143,0.7896995708154506
28,15375279,15375.279,43.82857142857143,0.8209536001768314
29,15375355,15375.355,45.55714285714286,0.8104910755401646
30,15375432,15375.432,45.72857142857143,0.7962202287756267
31,15375510,15375.51,46.042857142857144,0.782257915968244
32,15375585,15375.585000000001,47.9,0.8253882001878834
33,15375662,15375.662,43.65714285714286,0.7887693639595498
34,15375739,15375.739,45.885714285714286,0.8023724879809906
35,15375816,15375.816,46.042857142857144,0.8073965259997421
36,15375891,15375.891,47.6,0.8072077216379009
37,15375969,15375.969000000001,44.22857142857143,0.8284274899150841
38,15376046,15376.046,45.27142857142857,0.7991582088452541
39,15376122,15376.122000000001,45.8,0.7871852493138574
40,15376198,15376.198,45.871428571428574,0.7831743078708394
41,15376274,15376.274,48.25714285714286,0.8219298568770838
42,15376351,15376.351,43.15714285714286,0.7888522536793826
43,15376447,15376.447,45.84285714285714,0.8014975409383116
44,15376505,15376.505000000001,46.05714285714286,0.7870286798430621
45,15376581,15376.581,47.72857142857143,0.7950643776824035
46,15376658,15376.658,44.92857142857143,0.8352566818324154
47,15376735,15376.735,44.857142857142854,0.8005166792536241
48,15376813,15376.813,45.94285714285714,0.7987207353239146
49,15376891,15376.891,45.871428571428574,0.7870609147341082
50,15376967,15376.967,48.55714285714286,0.8213219989316436
51,15377044,15377.044,43.47142857142857,0.7875490430842343
52,15377120,15377.12,45.871428571428574,0.8030586306618284
53,15377195,15377.195,46.08571428571429,0.7939776013557074
54,15377271,15377.271,46.9,0.7971734605537033
55,15377349,15377.349,46.32857142857143,0.8381670319954319
56,15377425,15377.425000000001,44.871428571428574,0.7993009633627438
57,15377501,15377.501,46.0,0.8006778537088545
58,15377579,15377.579,46.05714285714286,0.7876917976017241
59,15377655,15377.655,48.74285714285714,0.8142579528081195
60,15377733,15377.733,43.385714285714286,0.812701468069038
61,15377811,15377.811,45.957142857142856,0.8260144780710641
62,15377887,15377.887,45.98571428571429,0.8010692773858424
63,15377962,15377.962,46.67142857142857,0.7919974580485918
64,15378039,15378.039,47.31428571428572,0.8421042936874873
65,15378115,15378.115,44.55714285714286,0.793001344655455
66,15378191,15378.191,45.98571428571429,0.8038645029379801
67,15378267,15378.267,46.128571428571426,0.7838374256295014
68,15378344,15378.344000000001,48.785714285714285,0.7973760798688501
69,15378421,15378.421,43.857142857142854,0.8176656412901324
70,15378498,15378.498,45.614285714285714,0.8074241559063531
71,15378572,15378.572,45.98571428571429,0.786931975169924
